Animal ID;Name;DateTime;Found Location;Intake Type;Intake Condition;Animal Type;Sex upon Intake;Age upon Intake;Breed;Color
A823331;;09/21/2020 04:29:00 PM;1216 Bonnie Brae in Austin (TX);Stray;Normal;Dog;Intact Male;2 months;Anatol Shepherd/Alaskan Husky;Cream/Tan
A823461;Mia;09/24/2020 10:24:00 AM;Ruidosa in Austin (TX);Stray;Normal;Dog;Intact Female;10 months;Labrador Retriever;Black/White
A789795;*Shimmer;02/27/2019 04:27:00 PM;East 14Th Street And Chestnut Avenue in Austin (TX);Stray;Normal;Dog;Intact Female;1 year;Chesa Bay Retr/Pit Bull;Sable/White
A800095;;07/16/2019 11:52:00 AM;8225 North Fm 620 in Austin (TX);Public Assist;Normal;Other;Unknown;1 year;Cold Water;Black
A792129;;05/02/2019 02:53:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Intact Female;2 months;Australian Cattle Dog Mix;Black/White
A817742;;05/24/2020 02:48:00 PM;6902 Rifle Bend in Austin (TX);Stray;Normal;Cat;Intact Female;1 month;Domestic Shorthair Mix;Torbie/White
A803730;;09/05/2019 12:47:00 PM;6100 Asa Drive in Austin (TX);Owner Surrender;Normal;Cat;Intact Female;1 year;Domestic Shorthair;Calico
A797386;;06/12/2019 08:53:00 PM;7613 Rio Pass in Austin (TX);Public Assist;Normal;Other;Unknown;1 year;Bat;Brown
A824625;;10/19/2020 12:15:00 PM;7203 East Riverside in Austin (TX);Stray;Normal;Cat;Intact Female;1 year;Domestic Shorthair Mix;Brown Tabby
A795151;;05/16/2019 03:46:00 PM;10801 North Mopac in Austin (TX);Stray;Normal;Cat;Intact Female;4 weeks;Domestic Shorthair;White/Blue
A808631;Callie;11/11/2019 12:58:00 PM;Austin (TX);Owner Surrender;Normal;Cat;Spayed Female;8 years;Domestic Medium Hair;Calico
A787398;Coco;01/12/2019 01:46:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Spayed Female;2 years;Pit Bull Mix;Brown/White
A813328;Moxy;02/18/2020 11:35:00 AM;Austin (TX);Owner Surrender;Normal;Dog;Spayed Female;2 years;German Shepherd;Brown/Black
A810474;*Crawley;12/14/2019 11:30:00 AM;Fm 969 And Gilbert Road in Austin (TX);Stray;Normal;Dog;Intact Female;8 months;Labrador Retriever Mix;Tan/Tricolor
A799886;June;07/13/2019 11:43:00 AM;11417 Walton Hill Pass in Manor (TX);Stray;Normal;Dog;Intact Female;5 months;Catahoula;Brown Merle/Chocolate
A796996;;06/08/2019 11:27:00 AM;1709 East Highway 71 in Austin (TX);Stray;Normal;Cat;Intact Female;2 years;Domestic Shorthair Mix;Calico
A791693;;03/30/2019 11:20:00 AM;7Th Street in Austin (TX);Stray;Normal;Dog;Intact Male;1 year;Jack Russell Terrier Mix;White/Tan
A789726;;02/26/2019 03:42:00 PM;8600 N Lamar Blvd in Austin (TX);Stray;Sick;Cat;Neutered Male;10 years;Domestic Shorthair Mix;Brown Tabby/White
A799829;;07/12/2019 12:52:00 PM;Drew Lane And Margra Lane in Austin (TX);Stray;Normal;Dog;Intact Female;1 month;Labrador Retriever;Black
A803549;*Connor;09/02/2019 05:12:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Intact Male;1 year;German Shepherd/Siberian Husky;Black/Tan
A798232;Shadow;06/23/2019 01:00:00 PM;3000 Guadalupe in Austin (TX);Stray;Normal;Cat;Intact Male;1 month;Domestic Medium Hair Mix;Black
A809539;;11/26/2019 11:47:00 AM;Montopolis in Austin (TX);Stray;Normal;Dog;Intact Male;5 months;Manchester Terrier Mix;Chocolate/White
A823091;Berkley;09/16/2020 07:46:00 AM;North Lamar Boulevard And Deen Avenue in Austin (TX);Stray;Injured;Dog;Neutered Male;14 years;Rat Terrier Mix;Tan/White
A794352;*Cthulhu;05/07/2019 11:27:00 AM;Austin (TX);Owner Surrender;Normal;Dog;Intact Male;2 years;Labrador Retriever/Beagle;Black/White
A815231;Marta;03/12/2020 03:05:00 PM;10501 Berthound Drive in Austin (TX);Stray;Normal;Other;Intact Female;1 year;Rabbit Sh;Seal Point/White
A811581;Cowboy;03/06/2020 03:06:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Neutered Male;9 months;Pit Bull;Blue/White
A787184;;01/09/2019 09:01:00 AM;12034 Research Blvd in Austin (TX);Stray;Injured;Dog;Intact Male;3 years;Pit Bull Mix;Blue
A812525;Duke;07/06/2020 08:18:00 AM;9636 Newfoundland Cir in Austin (TX);Owner Surrender;Normal;Dog;Neutered Male;6 years;Basset Hound;Tan
A820689;Mia;07/26/2020 12:04:00 PM;9333 Bernoulli Dr in Austin (TX);Stray;Normal;Dog;Intact Female;2 years;American Pit Bull Terrier/Dachshund;Fawn/White
A803446;392 Grams;09/01/2019 11:40:00 AM;13828 Spring Heath Road in Pflugerville (TX);Stray;Normal;Cat;Intact Male;2 weeks;Domestic Shorthair Mix;Brown Tabby
A787339;;01/12/2019 12:37:00 PM;Thompson Lane And 183 in Austin (TX);Stray;Normal;Dog;Intact Male;2 years;Chihuahua Shorthair Mix;Tricolor
A804151;Nala;09/11/2019 11:58:00 AM;East Riverside Drive And Montopolis Drive in Austin (TX);Stray;Normal;Dog;Intact Female;3 months;Labrador Retriever;Chocolate/White
A800863;Galaxy;07/28/2019 10:47:00 AM;13332 Clara Martin Road in Manor (TX);Stray;Normal;Cat;Neutered Male;1 year;Domestic Shorthair;Black
A809004;Grace;11/17/2019 03:13:00 PM;3601 Bluestein Dr in Austin (TX);Stray;Normal;Dog;Intact Female;5 years;Great Dane;Black
A792540;Joseph;04/12/2019 03:19:00 PM;Austin (TX);Public Assist;Normal;Dog;Intact Male;5 years;German Shepherd;Black/Tan
A788419;;02/02/2019 12:29:00 PM;2423 Town Lake Circle #102 in Austin (TX);Stray;Normal;Cat;Intact Male;6 months;Domestic Shorthair Mix;Black
A812440;;01/22/2020 03:29:00 PM;16713 Jaron Drive in Manor (TX);Stray;Normal;Cat;Intact Male;1 year;Domestic Shorthair;Black/White
A813674;;02/15/2020 04:32:00 PM;550 Bowie St in Austin (TX);Wildlife;Sick;Other;Unknown;2 years;Bat;Brown
A787769;Tim;04/11/2019 05:07:00 PM;Outside Jurisdiction;Owner Surrender;Normal;Cat;Neutered Male;2 years;Siamese/Domestic Shorthair;Seal Point
A780220;Luna;07/30/2019 03:08:00 PM;Outside Jurisdiction;Owner Surrender;Normal;Dog;Spayed Female;1 year;Chinese Sharpei Mix;Brown Brindle
A789147;;02/15/2019 06:34:00 PM;9712 Eastwend Drive in Austin (TX);Stray;Normal;Cat;Unknown;5 months;Domestic Shorthair Mix;Brown Tabby
A670830;Adrian;12/06/2019 02:49:00 PM;Austin (TX);Owner Surrender;Normal;Cat;Spayed Female;6 years;Domestic Shorthair Mix;Torbie
A797932;;06/19/2019 01:52:00 PM;933 East 53Rd Street in Austin (TX);Stray;Normal;Cat;Intact Male;3 months;Domestic Shorthair;Black
A805132;;09/23/2019 08:08:00 AM;1800 East William Cannon Drive in Austin (TX);Stray;Injured;Cat;Intact Male;3 weeks;Domestic Shorthair;Brown Tabby
A775791;Axl;07/12/2019 03:24:00 PM;124 West Anderson Lane in Austin (TX);Stray;Normal;Dog;Intact Male;6 years;Boxer Mix;Brown/White
A792395;Mia;04/10/2019 10:52:00 AM;Austin (TX);Stray;Normal;Cat;Intact Female;1 year;Domestic Shorthair Mix;Black/White
A793883;;05/01/2019 01:05:00 PM;1708 Wheless Lane in Austin (TX);Stray;Normal;Cat;Unknown;1 year;Domestic Shorthair Mix;Tortie
A811474;Hazel;01/04/2020 12:54:00 PM;Hamann Lane And Fm 973 in Travis (TX);Stray;Normal;Dog;Intact Female;1 year;German Shepherd;Brown/Black
A804319;*Millie;09/13/2019 11:53:00 AM;Brandt Road And Brents Elm in Austin (TX);Stray;Normal;Dog;Intact Female;1 year;Irish Terrier;Tan/White
A818458;Carlos;06/09/2020 11:36:00 AM;Austin (TX);Owner Surrender;Normal;Cat;Neutered Male;9 years;Domestic Shorthair;Orange Tabby/White
A812878;Monday;01/30/2020 12:09:00 PM;2104 Cullen Avenue in Austin (TX);Stray;Normal;Dog;Intact Male;1 month;Chihuahua Shorthair;Fawn
A792298;Coco;04/08/2019 07:15:00 PM;1201 Payton Gin in Austin (TX);Stray;Normal;Dog;Intact Male;11 months;Chihuahua Shorthair Mix;Brown
A813867;;02/20/2020 09:49:00 AM;1200 Kinney Avenue in Austin (TX);Wildlife;Sick;Other;Unknown;2 years;Raccoon;Black/Gray
A818347;;06/06/2020 07:41:00 AM;Austin (TX);Stray;Normal;Cat;Intact Female;1 month;Domestic Shorthair Mix;Torbie
A789174;Abigail;02/16/2019 03:08:00 PM;Montopolis Road in Austin (TX);Stray;Normal;Dog;Spayed Female;1 year;Chihuahua Shorthair/Dachshund;Tan/White
A816226;;04/10/2020 11:29:00 PM;2211 Dove Springs Dr in Austin (TX);Stray;Injured;Dog;Intact Male;2 years;Norfolk Terrier Mix;Tan/White
A715545;Minnie;02/02/2020 01:09:00 PM;Pendleton Lane And Tipton Drive in Austin (TX);Stray;Normal;Dog;Spayed Female;9 years;Chihuahua Shorthair Mix;Tricolor
A799377;*Comet;11/25/2019 08:33:00 PM;Onion Creek in Austin (TX);Stray;Normal;Dog;Neutered Male;6 months;Labrador Retriever Mix;Fawn/Black
A802051;;08/13/2019 01:17:00 PM;12370 Alameda Trace Circle in Austin (TX);Stray;Injured;Cat;Intact Female;1 year;Domestic Shorthair;White
A820673;;07/25/2020 11:50:00 AM;Austin (TX);Stray;Nursing;Dog;Intact Male;1 day;Yorkshire Terrier;Black/Tan
A809334;;11/22/2019 05:24:00 PM;Doonesbury And Braker in Austin (TX);Stray;Normal;Dog;Intact Male;2 months;Labrador Retriever Mix;Yellow
A822290;*Charlie;08/30/2020 11:14:00 AM;6209 Daffan Lane in Travis (TX);Stray;Injured;Dog;Intact Male;8 years;Labrador Retriever/Border Collie;Brown/Tan
A814182;;02/25/2020 03:33:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Intact Male;2 months;Smooth Fox Terrier Mix;Black/Brown
A803767;;09/05/2019 05:41:00 PM;969 And Imperial Drive in Austin (TX);Stray;Normal;Other;Intact Male;1 year;Guinea Pig;Brown/White
A824919;*Mac;10/23/2020 11:49:00 AM;3807 Hawkshead Drive in Austin (TX);Stray;Normal;Cat;Intact Male;1 month;Domestic Shorthair;Black/White
A810616;Zoe;12/23/2019 11:56:00 AM;Austin (TX);Owner Surrender;Normal;Dog;Spayed Female;8 months;Border Terrier/Scottish Terrier;Black/White
A779516;Rico;03/08/2019 12:27:00 PM;290 And 183 in Austin (TX);Stray;Normal;Dog;Intact Male;1 year;Pit Bull;Red/White
A800768;Bruiser;07/26/2019 04:34:00 PM;Austin (TX);Public Assist;Normal;Dog;Intact Male;3 years;Chihuahua Shorthair;Tan
A795091;;05/16/2019 10:50:00 AM;West Howard Lane And Metric Boulevard in Austin (TX);Stray;Normal;Dog;Intact Female;6 months;Chihuahua Shorthair;Tan/Black
A800892;;07/28/2019 02:14:00 PM;6413 Garden View Drive in Austin (TX);Stray;Normal;Cat;Unknown;2 months;Domestic Shorthair;Black/White
A804496;*Kitana;09/15/2019 11:05:00 AM;10308 Wagon Road in Austin (TX);Stray;Normal;Cat;Intact Female;3 months;Domestic Shorthair Mix;Black
A814110;*Hot Pocket;02/24/2020 02:18:00 PM;Andtree Blvd in Austin (TX);Public Assist;Normal;Cat;Spayed Female;1 year;Domestic Longhair;Orange Tabby
A800633;;07/24/2019 12:56:00 PM;2112 East William Cannon in Austin (TX);Stray;Normal;Dog;Intact Male;2 years;Miniature Poodle;White/Tan
A803463;Kimchi;11/27/2019 11:55:00 AM;1301 Crossing Place in Austin (TX);Stray;Normal;Dog;Neutered Male;2 years;Great Pyrenees;White
A803593;;09/03/2019 11:28:00 AM;13001 Center Lake Dr in Austin (TX);Public Assist;Nursing;Dog;Intact Male;1 week;Pit Bull;Sable
A813650;Merrett;02/15/2020 12:03:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Spayed Female;2 years;Labrador Retriever/Dachshund;Red
A792759;;04/22/2019 11:13:00 AM;1877 Dapplegrey Lane in Austin (TX);Owner Surrender;Sick;Dog;Neutered Male;3 months;Catahoula Mix;Black Smoke/White
A671860;Bison;09/30/2019 11:19:00 AM;Austin (TX);Owner Surrender;Normal;Dog;Intact Male;6 years;Chinese Sharpei Mix;Brown
A804913;*Jester;09/20/2019 02:16:00 PM;1309 Piney Creek Ln in Travis (TX);Owner Surrender;Normal;Cat;Intact Female;3 weeks;Domestic Shorthair;Brown Tabby/Orange
A802927;Honeybun;10/12/2019 03:25:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Spayed Female;6 months;Labrador Retriever Mix;Brown
A810189;Daisy;12/08/2019 05:31:00 PM;Sweet Leaf And Harcourt House in Travis (TX);Stray;Normal;Dog;Intact Female;2 years;Pointer Mix;Chocolate/White
A825521;;11/05/2020 12:18:00 PM;1201 South Meadows Drive in Austin (TX);Stray;Normal;Cat;Intact Female;2 weeks;Domestic Shorthair Mix;Calico
A799470;Bella;07/09/2019 10:28:00 AM;13409 Ring Drive in Manor (TX);Stray;Normal;Dog;Spayed Female;2 years;Australian Cattle Dog;Brown/Tricolor
A793596;Felicity;04/27/2019 11:24:00 AM;Thompson Lane And Ih35 in Austin (TX);Stray;Normal;Dog;Spayed Female;1 year;Australian Cattle Dog Mix;Tan/White
A794012;Big Boss;05/02/2019 05:14:00 PM;Austin (TX);Stray;Normal;Dog;Intact Male;7 years;English Bulldog Mix;Brown Brindle/White
A822731;*168 Grams;09/08/2020 03:23:00 PM;Manor (TX);Stray;Normal;Cat;Intact Female;1 week;Domestic Shorthair;Tortie
A804952;*Libitina;09/21/2019 10:12:00 AM;Highway 290 And Cameron Road in Austin (TX);Stray;Injured;Cat;Intact Female;2 years;Domestic Shorthair;Black/White
A802045;;08/13/2019 12:48:00 PM;8128 North Interstate Highway 35 in Austin (TX);Stray;Normal;Cat;Neutered Male;3 months;Domestic Shorthair;Blue/White
A783326;Lemmy;03/01/2019 02:03:00 PM;Outside Jurisdiction;Owner Surrender;Normal;Dog;Neutered Male;1 year;Pointer Mix;Brown Brindle/White
A796213;*Deer;05/30/2019 12:07:00 PM;1819 Rutland Drive in Austin (TX);Stray;Normal;Cat;Intact Female;3 weeks;Domestic Shorthair;Tortie
A794840;;05/12/2019 04:17:00 PM;2201 Willow Creek Dr in Austin (TX);Stray;Normal;Cat;Intact Male;1 month;Domestic Shorthair;Orange Tabby
A791713;Bailey;03/31/2019 04:39:00 PM;Austin (TX);Public Assist;Normal;Dog;Spayed Female;2 years;Border Collie Mix;Black/White
A796154;*Sun;05/29/2019 04:04:00 PM;1819 Rutland Drive in Austin (TX);Stray;Normal;Cat;Intact Male;1 month;Siamese;Flame Point
A788544;Halo;02/04/2019 02:01:00 PM;William Cannon And Ih 35 in Austin (TX);Stray;Normal;Dog;Spayed Female;9 months;Soft Coated Wheaten Terrier Mix;Cream
A788112;;01/26/2019 03:16:00 PM;8515 Brodie Lane in Austin (TX);Stray;Normal;Dog;Intact Male;6 months;Beagle/German Shepherd;Red/White
A825138;*Rainbow Brite;11/10/2020 05:21:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Spayed Female;2 years;Dutch Shepherd Mix;Brown Brindle/White
A696054;Cha-Chi;01/16/2019 12:02:00 PM;125 High Ridge Drive in Travis (TX);Stray;Normal;Dog;Neutered Male;6 years;Chihuahua Shorthair Mix;Tan
A797323;*Zion;06/12/2019 10:44:00 AM;1431 Jonestown in Travis (TX);Stray;Sick;Cat;Intact Male;1 month;Domestic Shorthair;Blue Tabby
A816674;;05/15/2020 03:49:00 PM;12310 Hulsey Road in Manor (TX);Stray;Normal;Cat;Intact Female;1 month;Domestic Shorthair;Calico
A804266;Emma-Jo;09/12/2019 01:45:00 PM;7808 Rialto Boulevard in Austin (TX);Stray;Normal;Cat;Intact Female;1 month;Domestic Shorthair;Tortie
A787151;;01/08/2019 02:01:00 PM;6400 Garden View Drive in Austin (TX);Stray;Normal;Dog;Intact Male;2 years;Chihuahua Shorthair Mix;Red/White
A813773;;02/18/2020 12:39:00 PM;Travis (TX);Owner Surrender;Normal;Dog;Intact Female;3 days;Chihuahua Shorthair Mix;Buff/White
A800992;Waddles;07/29/2019 05:06:00 PM;Santana Street in Travis (TX);Stray;Normal;Dog;Neutered Male;8 years;Australian Cattle Dog Mix;Brown/White
A814273;Blaze;02/26/2020 06:56:00 PM;Pearce Lane And Ross Road in Austin (TX);Stray;Normal;Dog;Intact Male;3 months;Labrador Retriever;Black/White
A795975;Muffin;05/27/2019 10:50:00 AM;420 West Slaughter Lane in Austin (TX);Owner Surrender;Normal;Dog;Spayed Female;11 years;Pekingese;Cream
A815916;Posie;04/06/2020 10:44:00 PM;5600 S 1St in Austin (TX);Public Assist;Normal;Dog;Intact Female;2 months;American Staffordshire Terrier Mix;White/Black
A812130;Milo;01/16/2020 01:39:00 PM;Austin (TX);Owner Surrender;Normal;Cat;Neutered Male;9 years;Domestic Shorthair;Brown Tabby
A803106;*Alex;08/27/2019 04:02:00 PM;8506 Dryfield Drive in Austin (TX);Stray;Normal;Cat;Intact Male;1 month;Domestic Shorthair;Black/White
A807078;Kody;10/20/2019 01:56:00 PM;Old Highway 20 And Blue Bluff Road in Manor (TX);Stray;Normal;Dog;Intact Male;4 months;Collie Rough;Tan/White
A809726;;11/30/2019 12:38:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Intact Male;1 month;Pointer;Chocolate/White
A788540;Chloe;06/25/2019 02:41:00 PM;Austin (TX);Owner Surrender;Normal;Cat;Spayed Female;11 years;Ragdoll Mix;Seal Point
A819575;;07/01/2020 11:34:00 AM;Austin (TX);Owner Surrender;Nursing;Other;Unknown;1 weeks;Rabbit Sh;Blue
A801363;Gremlin;08/03/2019 11:30:00 AM;13535 Lyndhurst Street in Austin (TX);Stray;Normal;Cat;Neutered Male;2 years;Domestic Shorthair Mix;Black
A787329;;01/11/2019 12:21:00 PM;Austin (TX);Owner Surrender;Normal;Bird;Unknown;1 year;Parakeet Mix;Yellow
A812670;Dmo;01/26/2020 02:12:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Intact Male;1 year;Pit Bull/Chinese Sharpei;Brown/Tricolor
A800172;Pelusa;07/17/2019 12:14:00 PM;Manor (TX);Owner Surrender;Normal;Dog;Spayed Female;5 years;Soft Coated Wheaten Terrier;White
A796953;;06/07/2019 02:53:00 PM;Freidrich Lane in Austin (TX);Stray;Injured;Other;Unknown;1 year;Snake/Python;Tan
A810061;Milly;12/06/2019 02:43:00 PM;8005 Rosenberry Drive in Austin (TX);Stray;Normal;Dog;Intact Female;9 years;Miniature Schnauzer;Gray
A797927;*Sugar;06/19/2019 01:19:00 PM;6006 Jays Lane in Austin (TX);Stray;Nursing;Cat;Intact Male;3 weeks;Domestic Shorthair;White/Brown Tabby
A808742;Freddy;11/13/2019 11:33:00 AM;Pearce Lane And Ross Road in Austin (TX);Stray;Normal;Dog;Intact Male;9 months;Australian Cattle Dog;Gray/Black
A792765;*John Snow;04/15/2019 12:02:00 PM;2515 Elmont Road in Austin (TX);Stray;Injured;Dog;Intact Male;1 year;Labrador Retriever/Boxer;Black/White
A804822;;09/19/2019 01:37:00 PM;6404 Sandshof Drive in Austin (TX);Stray;Normal;Dog;Intact Female;1 month;German Shepherd Mix;Black
A813313;;02/15/2020 01:46:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Neutered Male;7 months;Miniature Pinscher;Black/Tan
A790880;Toby;03/18/2019 12:47:00 PM;7101 Maverick in Mustang Ridge (TX);Public Assist;Normal;Dog;Intact Male;5 years;German Shepherd Mix;Black/Brown
A815207;;03/12/2020 12:17:00 PM;Menchaca Drive And Wilcott Court in Austin (TX);Stray;Normal;Other;Unknown;1 year;Lizard;Brown
A801275;*Samantha;08/02/2019 11:30:00 AM;Travis (TX);Owner Surrender;Normal;Cat;Intact Female;2 months;Domestic Shorthair Mix;Brown Tabby/White
A814734;;03/04/2020 06:17:00 PM;1930 W Rundberg Ln in Austin (TX);Stray;Normal;Dog;Intact Male;2 years;Miniature Poodle/Scottish Terrier;Black
A805087;;09/22/2019 12:23:00 PM;Barlett Street And Lindell Avenue in Austin (TX);Stray;Normal;Cat;Neutered Male;3 years;Domestic Shorthair;Brown Tabby
A815924;;03/30/2020 11:07:00 AM;2508 Sunny Hills in Austin (TX);Stray;Sick;Cat;Neutered Male;10 years;Domestic Shorthair;White/Black
A809286;*Booker;11/22/2019 12:34:00 PM;7515 Timber Hills Drive in Travis (TX);Stray;Normal;Dog;Intact Male;2 years;Pit Bull;Brown
A792644;Piper;04/13/2019 12:27:00 PM;Austin (TX);Owner Surrender;Normal;Cat;Spayed Female;2 years;Domestic Shorthair Mix;Calico
A794578;Paco;05/09/2019 06:01:00 PM;Cripple Creek And Aspen St in Austin (TX);Stray;Normal;Dog;Intact Male;2 years;Chihuahua Shorthair;Brown Brindle
A810945;Blue;12/23/2019 01:08:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Neutered Male;2 months;Australian Shepherd;Blue Merle
A794252;*Batman;05/05/2019 06:26:00 PM;River Timber Drive And Man O War Drive in Travis (TX);Stray;Normal;Dog;Intact Male;1 year;Chihuahua Shorthair Mix;Black
A809497;*Teddy;11/25/2019 03:17:00 PM;1071 Clayton Lane in Austin (TX);Stray;Normal;Cat;Intact Male;1 month;Domestic Shorthair;Brown Tabby/White
A790513;*Gus;03/11/2019 05:11:00 PM;1700 Teri in Austin (TX);Stray;Normal;Dog;Intact Male;3 years;Chihuahua Shorthair Mix;Brown
A825793;Bushy;11/12/2020 03:12:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Intact Male;1 year;Chihuahua Shorthair/Yorkshire Terrier;Brown
A810705;*Comet;12/18/2019 01:02:00 PM;Pearce Lane And Pimilco Drive in Travis (TX);Stray;Normal;Dog;Intact Male;1 month;Labrador Retriever/Great Pyrenees;Cream/White
A789609;;02/24/2019 03:18:00 PM;Montopolis And 183 in Austin (TX);Stray;Normal;Dog;Intact Male;2 years;Chihuahua Shorthair/Dachshund;White/Tan
A817198;*Moon;05/09/2020 08:02:00 PM;1105 Chesapeake Dr in Austin (TX);Stray;Injured;Cat;Intact Female;1 year;Siamese;Blue Point
A793527;;04/26/2019 01:39:00 PM;3408 Tilmon in Austin (TX);Stray;Normal;Dog;Intact Male;5 months;Pointer Mix;Blue Tiger/White
A802627;*Opal;08/20/2019 04:06:00 PM;4710 Creek Bend Drive in Austin (TX);Stray;Normal;Cat;Intact Female;3 weeks;Domestic Shorthair Mix;Black
A791767;;03/31/2019 02:20:00 PM;Austin (TX);Stray;Normal;Cat;Intact Female;1 day;Domestic Shorthair Mix;Black
A793012;Precious;04/18/2019 12:01:00 PM;Austin (TX);Owner Surrender;Normal;Cat;Spayed Female;2 years;Domestic Longhair Mix;Brown Tabby
A815333;;03/13/2020 11:46:00 PM;17201 Cedar St in Austin (TX);Wildlife;Normal;Other;Unknown;2 years;Bat;Brown/Brown
A798885;Maxy;07/02/2019 11:33:00 AM;Austin (TX);Public Assist;Normal;Dog;Spayed Female;8 years;Miniature Schnauzer;Gray/Black
A796976;*Dimitri;06/07/2019 04:54:00 PM;3800 South 2Nd Street in Austin (TX);Stray;Normal;Dog;Intact Male;2 years;Staffordshire;Tan/White
A807876;;10/31/2019 03:10:00 PM;Leander (TX);Owner Surrender;Normal;Dog;Intact Female;5 months;Pointer;Black/White
A812619;;01/25/2020 02:52:00 PM;Covington Drive And Quinn Trail in Austin (TX);Stray;Normal;Dog;Intact Male;2 years;Maltese/Miniature Poodle;White
A804786;;09/19/2019 09:36:00 AM;1734 Rutland Drive in Austin (TX);Stray;Sick;Cat;Intact Female;4 weeks;Domestic Shorthair;White/Gray
A795080;;05/16/2019 12:49:00 AM;6702 Wentworth Dr in Austin (TX);Stray;Normal;Cat;Intact Female;2 years;Domestic Shorthair;Tortie/Blue Cream
A790259;Bo;03/07/2019 09:28:00 AM;2612 San Pedro St in Austin (TX);Public Assist;Normal;Dog;Intact Male;6 months;Siberian Husky Mix;Black/White
A824455;Kumere;10/14/2020 05:13:00 PM;Austin (TX);Owner Surrender;Normal;Cat;Neutered Male;10 years;Domestic Shorthair;Brown Tabby
A789058;Carter;02/13/2019 04:59:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Intact Female;2 months;Jack Russell Terrier Mix;White/Tricolor
A798559;*Catherine;06/27/2019 02:44:00 PM;Travis (TX);Owner Surrender;Normal;Dog;Intact Female;1 month;Labrador Retriever/Border Collie;Black/White
